lon,lat,result_discrete,prob
46,75,11,0.5845454931259155
47,75,3,0.4740040898323059
48,75,3,0.674832284450531
49,75,3,0.9524486660957336
50,75,3,0.8940295577049255
51,75,3,0.985434889793396
52,75,3,0.9975940585136414
53,75,3,0.9975810050964355
54,75,3,0.8666845560073853
55,75,11,0.6544468998908997
61,75,3,0.7588603496551514
62,75,3,0.9944196343421936
63,75,3,0.9938099980354309
64,75,3,0.8946952223777771
65,75,3,0.8644022345542908
66,75,3,0.8628479838371277
67,75,3,0.9996521472930908
68,75,3,0.982221782207489
69,75,3,0.7746626734733582
70,75,11,0.47014328837394714
71,75,3,0.8813583850860596
72,75,3,0.8411427140235901
73,75,3,0.9641696810722351
74,75,3,0.9129660725593567
75,75,3,0.894952654838562
76,75,3,0.9315784573554993
77,75,3,0.9948959946632385
78,75,3,0.9685320258140564
79,75,3,0.9966545104980469
80,75,3,0.9718324542045593
81,75,3,0.8865739107131958
82,75,3,0.9916185736656189
83,75,3,0.9950483441352844
84,75,3,0.9918143153190613
85,75,3,0.9921660423278809
86,75,3,0.9991624355316162
87,75,11,0.7463527917861938
113,75,3,0.9941695928573608
114,75,3,0.9995482563972473
115,75,3,0.9631274342536926
116,75,11,0.5196412801742554
117,75,3,0.6060812473297119
118,75,11,0.557968020439148
119,75,11,0.5029364228248596
120,75,3,0.6447932720184326
121,75,11,0.8498024940490723
122,75,11,0.9146295189857483
123,75,11,0.9397168755531311
124,75,11,0.995853066444397
125,75,11,0.997852087020874
126,75,11,0.9999610185623169
127,75,11,0.9990789890289307
128,75,11,0.999995231628418
129,75,11,0.9999991655349731
130,75,11,0.9994100332260132
131,75,11,1.0
132,75,11,0.9978857636451721
133,75,11,0.9974996447563171
134,75,11,1.0
135,75,11,0.99802565574646
136,75,11,0.99739009141922
137,75,11,0.9971686005592346
142,75,11,1.0
144,75,11,0.9866395592689514
145,75,11,0.9996351003646851
146,75,11,0.9999997615814209
147,75,11,0.5932900905609131
151,75,3,0.8641732335090637
152,75,11,0.9997770190238953
153,75,11,0.8734865188598633
154,75,11,0.9881982207298279
155,75,11,0.9999433755874634
156,75,11,0.9999988079071045
157,75,11,0.9999926090240479
158,75,11,0.999993085861206
159,75,11,0.9999933242797852
160,75,11,0.9999698400497437
161,75,11,0.9999948740005493
162,75,11,0.9999815225601196
163,75,11,0.9999322891235352
164,75,11,0.9999361038208008
165,75,11,0.9999973773956299
166,75,11,0.9999959468841553
167,75,11,0.9999939203262329
168,75,11,0.9999940395355225
169,75,11,0.990611732006073
170,75,11,0.9569702744483948
171,75,11,0.9864290952682495
172,75,3,0.5691373944282532
173,75,3,0.7929673194885254
174,75,11,0.8213236331939697
175,75,3,0.5635556578636169
176,75,11,0.7706793546676636
177,75,3,0.937270998954773
178,75,11,0.5864031910896301
179,75,3,0.518352746963501
180,75,3,0.5055578351020813
-180,74,11,0.5946486592292786
-179,74,3,0.9994447827339172
-178,74,3,0.9999046325683594
-177,74,3,0.9999768733978271
-176,74,3,0.9999938011169434
-175,74,3,0.9982604384422302
-174,74,3,0.8474664688110352
-173,74,3,0.999998927116394
-172,74,3,0.9974536299705505
-171,74,3,0.9999949932098389
-170,74,3,0.9034080505371094
-169,74,3,0.9092038869857788
-168,74,3,0.998734176158905
-167,74,3,0.6692937612533569
-166,74,3,0.9991764426231384
-165,74,3,0.7558993101119995
-164,74,3,0.829541802406311
-163,74,3,0.9103022217750549
-162,74,3,0.9757517576217651
-161,74,3,0.9179232716560364
-160,74,3,0.8512166142463684
-159,74,3,0.9294065833091736
-158,74,11,0.6968039274215698
-157,74,11,0.6707109212875366
-156,74,3,0.9968231916427612
-155,74,3,0.9998111128807068
-154,74,3,0.9999979734420776
-153,74,3,0.9579476714134216
-152,74,3,0.9870287179946899
-151,74,3,1.0
-150,74,3,0.9968531727790833
-149,74,3,0.9969308972358704
-148,74,3,1.0
-147,74,3,1.0
-146,74,3,1.0
-145,74,3,0.9999499320983887
-144,74,3,1.0
