longitude,latitude,lithology,bathymetry,nitrate,oxygen,phosphate,productivity,salinity,silicate,temperature
-71,73,2,-1363.0,1.015981078,7.781130791,0.583568215,553.8391723999998,32.44501114,4.028905392,1.015154004
-71,73,2,-1363.0,1.015981078,7.781130791,0.583568215,553.8391723999998,32.44501114,4.028905392,1.015154004
-25,73,2,-86.0,,8.454442024,,1032.459351,29.27934074,,-0.271086693
-25,73,2,-86.0,,8.454442024,,1032.459351,29.27934074,,-0.271086693
-25,73,2,-86.0,,8.454442024,,1032.459351,29.27934074,,-0.271086693
-25,73,2,-86.0,,8.454442024,,1032.459351,29.27934074,,-0.271086693
-25,73,2,-86.0,,8.454442024,,1032.459351,29.27934074,,-0.271086693
-22,73,2,-140.0,,8.445124626,,982.6799927,28.11466026,,-0.574557424
-20,73,2,-198.0,6.1312737460000015,8.255562782,0.628820896,607.2849121,28.04850006,4.243487358,-1.00443995
-16,73,2,-1743.0,6.24758625,7.846271037999999,0.570558608,558.8258057,33.3861084,3.810832024,-1.5420780180000002
-16,73,2,-1743.0,6.24758625,7.846271037999999,0.570558608,558.8258057,33.3861084,3.810832024,-1.5420780180000002
-16,73,2,-1743.0,6.24758625,7.846271037999999,0.570558608,558.8258057,33.3861084,3.810832024,-1.5420780180000002
-13,73,2,-2600.0,6.208769798,8.329496384,0.534691393,583.4000244,32.58287811,3.607117176,-0.337117612
-13,73,2,-2600.0,6.208769798,8.329496384,0.534691393,583.4000244,32.58287811,3.607117176,-0.337117612
-13,73,2,-2600.0,6.208769798,8.329496384,0.534691393,583.4000244,32.58287811,3.607117176,-0.337117612
-13,73,2,-2600.0,6.208769798,8.329496384,0.534691393,583.4000244,32.58287811,3.607117176,-0.337117612
-12,73,2,-2649.0,6.270515442000001,8.270437241,0.52680856,572.5863647000001,32.78590012,3.587578058,0.159481898
-12,73,2,-2649.0,6.270515442000001,8.270437241,0.52680856,572.5863647000001,32.78590012,3.587578058,0.159481898
-9,73,2,-2599.0,6.536273479,8.22178936,0.520003915,594.9492798,34.01401901,3.632804871,1.080046058
-9,73,2,-2599.0,6.536273479,8.22178936,0.520003915,594.9492798,34.01401901,3.632804871,1.080046058
-153,72,2,-1605.0,3.740911722,8.598654747000001,0.417139709,692.5184937000001,29.06287956,9.141514778,1.914715052
-13,72,2,-2127.0,6.165726662000001,8.309225082000001,0.5066601629999999,538.1689453,33.23913956,3.474710941,0.080066793
-11,72,2,-2297.0,6.305152416,8.174230576,0.494218737,579.9063721,33.82958984,3.491347551,0.988160729
-11,72,2,-2297.0,6.305152416,8.174230576,0.494218737,579.9063721,33.82958984,3.491347551,0.988160729
-10,72,2,-2218.0,6.393410206,8.142609596,0.492742181,594.0491943,34.07284164,3.535964727,1.321869969
12,72,1,-1967.0,7.011078358,6.9605231289999985,0.542496085,845.8356322999998,34.132110600000004,4.329093933,6.17629385
33,72,2,-226.0,2.255640745,7.078701972999999,0.396230459,1164.33374,34.27038956,3.835441351,3.345175982
